team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
ATL,DAL,114.78,111.98,0.574,-2.8
ATL,SAC,113.66,114.63,0.4743,1.0
ATL,CHA,118.31,109.99,0.7089,-8.3
ATL,WAS,118.51,109.99,0.7135,-8.5
ATL,NOP,118.06,111.76,0.6613,-6.3
ATL,CHI,119.28,116.01,0.5845,-3.3
ATL,MEM,116.46,113.18,0.5856,-3.3
ATL,MIA,114.96,115.01,0.4986,0.1
ATL,ORL,111.47,111.49,0.4993,0.0
ATL,MIL,116.57,115.42,0.5301,-1.1
ATL,LAL,111.85,112.5,0.4827,0.7
ATL,DET,115.16,112.92,0.5589,-2.2
ATL,LAC,110.88,114.37,0.4081,3.5
ATL,HOU,111.92,114.57,0.43,2.7
ATL,CLE,111.79,115.99,0.3904,4.2
ATL,GSW,111.31,109.99,0.5351,-1.3
ATL,BOS,109.74,112.59,0.4241,2.9
ATL,DEN,112.61,112.5,0.5028,-0.1
ATL,MIN,111.45,112.33,0.4764,0.9
ATL,NYK,111.98,112.5,0.4861,0.5
ATL,OKC,111.65,114.58,0.4229,2.9
ATL,IND,113.97,114.88,0.4758,0.9
CHA,UTA,109.62,111.01,0.4627,1.4
CHA,TOR,106.81,110.86,0.3919,4.0
CHA,PHX,110.08,110.43,0.4904,0.4
CHA,PHI,108.84,110.77,0.448,1.9
CHA,POR,108.77,111.84,0.4181,3.1
CHA,SAS,109.54,110.43,0.4759,0.9
CHA,BKN,108.84,110.61,0.4523,1.8
CHA,DAL,108.84,110.57,0.4534,1.7
CHA,SAC,108.15,113.18,0.3675,5.0
CHA,ATL,109.31,114.07,0.3752,4.8
CHA,WAS,110.0,108.58,0.5384,-1.4
CHA,NOP,109.58,110.43,0.4771,0.9
CHA,CHI,109.36,114.07,0.3763,4.7
CHA,MEM,108.77,111.84,0.4181,3.1
CHA,MIA,108.58,113.65,0.3669,5.1
CHA,ORL,105.1,108.99,0.3953,3.9
CHA,MIL,108.61,113.48,0.3719,4.9
CHA,LAL,105.27,110.86,0.352,5.6
CHA,DET,108.77,111.59,0.4248,2.8
CHA,LAC,104.55,112.7,0.2901,8.2
CHA,HOU,105.18,112.34,0.3137,7.2
CHA,CLE,105.18,113.73,0.2816,8.6
CHA,GSW,104.57,107.57,0.4182,3.0
CHA,BOS,103.34,110.95,0.3016,7.6
CHA,DEN,107.07,110.86,0.3986,3.8
CHA,MIN,104.53,110.69,0.3373,6.2
CHA,NYK,106.39,110.86,0.3809,4.5
CHA,OKC,105.08,112.9,0.2982,7.8
CHA,IND,106.85,112.87,0.3423,6.0
WAS,UTA,109.62,110.85,0.4669,1.2
WAS,TOR,107.08,110.7,0.403,3.6
WAS,PHX,110.08,110.28,0.4946,0.2
WAS,PHI,108.84,110.62,0.4521,1.8
WAS,POR,108.77,111.69,0.4222,2.9
WAS,SAS,109.54,110.28,0.4801,0.7
WAS,BKN,108.84,110.46,0.4565,1.6
WAS,DAL,108.84,110.41,0.4576,1.6
WAS,SAC,108.42,113.02,0.3785,4.6
WAS,ATL,109.31,113.91,0.3792,4.6
WAS,CHA,109.96,108.42,0.5413,-1.5
WAS,NOP,109.58,110.28,0.4813,0.7
WAS,CHI,109.36,113.91,0.3803,4.6
WAS,MEM,108.77,111.69,0.4222,2.9
WAS,MIA,108.58,113.49,0.3709,4.9
WAS,ORL,105.36,108.83,0.4063,3.5
WAS,MIL,108.61,113.33,0.3759,4.7
WAS,LAL,105.54,110.7,0.3626,5.2
WAS,DET,108.77,111.43,0.4289,2.7
WAS,LAC,104.81,112.54,0.3,7.7
WAS,HOU,105.44,112.18,0.3239,6.7
WAS,CLE,105.44,113.57,0.2914,8.1
WAS,GSW,104.83,107.42,0.4293,2.6
WAS,BOS,103.6,110.79,0.3115,7.2
WAS,DEN,107.33,110.7,0.4098,3.4
WAS,MIN,104.79,110.54,0.3478,5.7
WAS,NYK,106.66,110.7,0.3919,4.0
WAS,OKC,105.35,112.75,0.3082,7.4
WAS,IND,107.11,112.71,0.3529,5.6
NOP,UTA,110.62,110.79,0.4953,0.2
NOP,TOR,106.25,110.3,0.3916,4.0
NOP,PHX,111.08,110.22,0.5231,-0.9
NOP,PHI,108.48,110.56,0.4441,2.1
NOP,POR,108.5,111.63,0.4165,3.1
NOP,SAS,109.73,110.22,0.4869,0.5
NOP,BKN,108.48,110.4,0.4484,1.9
NOP,DAL,108.53,110.36,0.4508,1.8
NOP,SAC,107.47,112.97,0.3557,5.5
NOP,ATL,109.48,114.42,0.3708,4.9
NOP,CHA,110.15,108.37,0.5481,-1.8
